Protein	Locations
I2C5E8_BACAM	3916-3982
A0A1G4LJB4_BACIU	4470-4536
S6FXN1_9BACI	4418-4485
A0A0D7XVT5_BACAM	3920-3986
A0A172XKF2_9BACI	4628-4696
Q2N3S7_SORCE	1186-1253
A0A1S6KMA7_BACAM	1754-1821
A0A1E1VJ41_9BACL	3763-3829
A0A1R1QP59_9BACI	4469-4535
H0KBQ7_9PSEU	4591-4659
A0A1E3L417_9BACL	2955-3022
