Protein	Locations
A0A120KT44_9BACI	1875-1940
PKSL_BACSU	1805-1870
A0A0E1LN56_9BACI	1767-1831
A0A1V4FWV4_9BACI	1818-1882
I2C5E9_BACAM	2170-2235
R9S6F9_BURTH	2339-2405
A0A1A0G186_PAEPO	504-569
D4NZD4_PSEFL	3501-3567
J8AFM5_BACCE	227-292
E0TV43_BACPZ	1808-1872
A0A059WDS6_STRA9	38-103
I9B3E8_9FIRM	170-235
E5FNF1_SORCE	2016-2083
A0A0K9M6D3_9BACI	5329-5393
A0A0U0CGJ5_STREE	2166-2231
A0A172XKA7_9BACI	332-397
A0A1E1VJC1_9BACL	2471-2535
A0A1R3WBY8_9BURK	3258-3335
A0A1S8MC08_9CLOT	2273-2338
A0A0E1LTG1_9BACI	1875-1940
A0A1S6KMD5_BACAM	1874-1939
J7FFR9_BURGA	6007-6072
A7Z4Y7_BACVZ	2163-2228
B8I8J9_CLOCE	542-608	2059-2124
A0A0M9EC30_9DELT	34-99
A2CLL5_9GAMM	3655-3721
A0A1L3PTB3_BACIU	2163-2228
A0A150L0J9_BACVA	1818-1884
Q2T4N2_BURTA	2669-2734
Q6VT93_9BACT	2850-2915
A0A0M2Q2U3_BURGA	256-322
A0A1A0G182_PAEPO	1717-1783
A0A1Q5MN77_9ACTN	858-923
A0A0N0XUJ4_9ACTN	418-484
D8UYP4_9ACTN	485-551
A0A125UID0_9BACI	1799-1864
L8JXX3_9BACT	805-870
E5FNF2_SORCE	1887-1953
I2HST9_9BACI	332-397
A0A0U0CS61_STREE	332-397
A0A1Q2ZHQ6_9ACTN	4120-4185
A0A142FEQ8_BACAM	332-397
A0A1A0CAX8_9BACI	2153-2218
A0A0K6K6Z9_BACCE	1812-1876
W7YFQ9_9BACL	1649-1715
J2H8G7_9BACL	5331-5395	2199-2265
A0A0T8PUH7_STREE	1801-1866
A0A1S2F7C9_9BACL	470-535
D9XPH5_9ACTN	1958-2023
A0A096YWS1_BURTA	2596-2661
A0A1Q3TTH6_9GAMM	1969-2033
Q1RS54_BACAM	1874-1939
A0A090AMK6_9GAMM	1845-1907
A0A0U0CRX3_STREE	1875-1940
A0A124URM8_9BURK	2333-2399
A0A1Q9TKA8_9ACTN	184-249
A0A0S4TNP5_RALSL	1426-1491
A9GJ30_SORC5	2155-2220
A0A0M9ECL0_9DELT	1004-1069
A0A1R3W0U8_9BURK	5147-5212
A0A0B2C811_9XANT	2367-2433
D2SUE1_9BACT	3131-3196
A0A0D7XKM1_BACAM	332-397
A0A142FEF1_BACAM	1768-1832
A0A1R1EAX7_9BACL	3518-3583
A0A0D4DE92_9ACTN	418-484
A0A0H0SRQ8_9BACL	1473-1539	3085-3150
A0A095G6H9_BURGA	4342-4408	489-554
A0A0D5LB53_9BURK	2339-2405
A0A1B4K586_BURTH	2600-2665
A0A1Q2ZHQ9_9ACTN	1393-1459
A0A1E1VJ41_9BACL	567-632
A0A0M9DXX9_9DELT	687-752
A0A1D9FLT7_9CLOT	1571-1636	65-130
A0A0A2TMI9_9BACL	68-133
A0A1N7DLI7_9BACI	543-608
A0A1A0G9Q7_BACIU	1047-1111
A0A172XIP9_9BACI	2163-2228
J1ZQS1_9ACTN	186-252
A0A017T6E6_9DELT	6393-6458
I0F4K1_9BACI	2194-2259
A0A132BNA7_9BACI	870-935
B8I8K1_CLOCE	2083-2147	4777-4843	3608-3673
E0RFQ4_PAEP6	1606-1671	5602-5667
A0A161RV93_9BACL	1717-1783
A7Z6D8_BACVZ	1874-1939
A0A163QRE0_9BACL	504-569
F8FQZ5_PAEMK	1395-1461
A0A086MQG3_9ACTN	715-780
A0A068J4M9_9BACT	448-514
A0A059W392_STRA9	1097-1164
I2C5E8_BACAM	1767-1831
A0A177RGV4_RALSL	3383-3460
I9NKA3_9FIRM	67-133	1580-1645
A0A0K0PDC3_9CYAN	8648-8714	6340-6405
A0A1N7E0X8_9BACI	2163-2228
A0A1B4K579_BURTH	2591-2657
A0A1I6PQD4_9BACL	65-129	4993-5058
D8MZG5_RALSL	5108-5173
A0A0A0TQG6_BACIU	2165-2230
A0A1R1DHA9_9BACL	1606-1671
A0A0H0SRV3_9BACL	5330-5394	2205-2271
D8P4C9_RALSL	3260-3337
A0A150FAC2_9BACI	1765-1831
I2C4I8_BACAM	544-609
A0A1Q9G013_BACLI	2193-2258
A0A1D7MDT6_PAEPO	1716-1782
A0A150FAJ3_9BACI	2157-2222
A0A0S4TW17_RALSL	3164-3229
A0A0F6EP05_PAEPO	1716-1782
Q6VT95_9BACT	2911-2976
U5U6S4_BACIU	2196-2261
A0A0A1FDT8_9BURK	2506-2571
A0A1R3WBP7_9BURK	5147-5212
A0A0K0PD94_9CYAN	1276-1341
Q2T4N1_BURTA	2867-2932
A0A1U9VJY8_9RALS	2560-2625
A0A0C5VMZ5_9GAMM	3667-3732
A0A0K2FAE1_9BACL	1600-1665	5591-5656
A0A1J1EDE6_LYSEN	4118-4183
A0A1D2QU90_9GAMM	3657-3723
A0A090AH11_9GAMM	3099-3164
A0A095H487_BURGA	1617-1682
E3E973_PAEPS	504-569
PKSM_BACSU	2193-2258
A0A0C2IG32_9PSED	3501-3567
A0A1H3BA28_LYSEN	4204-4269
A0A080URI7_BACIU	1817-1883
A0A0A0TX16_BACIU	1768-1832
A0A1W6HK17_BACVA	1875-1940
A0A0M0L2A8_9BACL	1812-1876
A0MS28_9GAMM	2079-2145
A2CLL4_9GAMM	2079-2145
A0A1L3PUQ0_BACIU	332-397
