Protein	Locations
A0A1G4LJC7_BACIU	3993-4059
A0A0E1LN56_9BACI	3916-3983
A0A0K6K6M3_BACCE	4471-4537
A0A0C2IG32_9PSED	7395-7461
A0A0X8KJI2_9BACI	1982-2049
A0A1R1QP59_9BACI	4470-4536
U5UA70_BACIU	3978-4044
W7YY08_9BACL	1325-1392
A0A1L3PST0_BACIU	3917-3984
X0MVE3_STRA9	3659-3725
A0A132BHC7_9BACI	3995-4062
A0A1A0CAV6_9BACI	3914-3981
A0A0A0TPD8_BACIU	4418-4485
A0A1W6HIM2_BACVA	3917-3984
U1ZCN0_9BACI	3962-4028
I2C7E6_BACAM	1539-1606
I0F4K0_9BACI	3970-4036
A0A0D7XQ89_BACAM	1982-2049
A0A1Q9FZW6_BACLI	4460-4526
E1UUN1_BACAS	3923-3990
A0A1A0C9W7_9BACI	4413-4480
A0A1V4FWV4_9BACI	3999-4065
M4KTD4_BACIU	737-803
C0ZGQ5_BREBN	6582-6647
G4NVE7_BACPT	3993-4059
